"Action","Notes","SamAccountName","UserPrincipalName","GivenName","Initials","Surname","DisplayName","Name","Description","EmployeeID","EmployeeNumber","EmployeeType","Enabled","AccountPassword","ChangePasswordAtLogon","PasswordNeverExpires","CannotChangePassword","SmartcardLogonRequired","AccountExpirationDate","UserWorkstations","ScriptPath","ProfilePath","HomeDirectory","HomeDrive","Title","Department","Company","Division","Office","Manager","OfficePhone","MobilePhone","Mail","MailNickname","ProxyAddresses","TargetAddress","HideFromAddressLists","StreetAddress","PostOfficeBox","City","StateOrProvince","PostalCode","CountryCode","CountryName","CountryNumericCode","HomePhone","IpPhone","Fax","Pager","WebPage","ExtensionAttribute1","ExtensionAttribute2","ExtensionAttribute3","ExtensionAttribute4","ExtensionAttribute5","ExtensionAttribute6","ExtensionAttribute7","ExtensionAttribute8","ExtensionAttribute9","ExtensionAttribute10","ExtensionAttribute11","ExtensionAttribute12","ExtensionAttribute13","ExtensionAttribute14","ExtensionAttribute15","Path"
"Create","Initial onboarding sample","emma.foster","emma.foster@corp.contoso.com","Emma","E","Foster","Emma Foster","Emma Foster","HR Business Partner (Human Resources)","10011","E10011","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-011;WKSTN-211","login.bat","\\\\fs01\\profiles$\\emma.foster","\\\\fs01\\home$\\emma.foster","H:","HR Business Partner","Human Resources","Contoso","PeopleOps","Chicago-HQ","CN=Mia Rodriguez,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0111","+1 312 555 8111","emma.foster@contoso.com","emma.foster","SMTP:emma.foster@contoso.com;smtp:efoster@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/emma.foster","LegalEntity=Contoso","CostCenter=10011","BusinessUnit=PeopleOps","Region=NA","MigrationWave=1","Department=Human Resources","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","mason.carter","mason.carter@corp.contoso.com","Mason","M","Carter","Mason Carter","Mason Carter","Financial Analyst (Finance)","10012","E10012","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-012;WKSTN-212","login.bat","\\\\fs01\\profiles$\\mason.carter","\\\\fs01\\home$\\mason.carter","H:","Financial Analyst","Finance","Contoso","Finance","Chicago-HQ","CN=Noah Patel,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0112","+1 312 555 8112","mason.carter@contoso.com","mason.carter","SMTP:mason.carter@contoso.com;smtp:mcarter@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/mason.carter","LegalEntity=Contoso","CostCenter=10012","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","amelia.bailey","amelia.bailey@corp.contoso.com","Amelia","A","Bailey","Amelia Bailey","Amelia Bailey","Account Executive (Sales)","10013","E10013","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-013;WKSTN-213","login.bat","\\\\fs01\\profiles$\\amelia.bailey","\\\\fs01\\home$\\amelia.bailey","H:","Account Executive","Sales","Contoso","Revenue","Dallas-HQ","CN=Liam Kim,OU=Users,OU=Corp,DC=contoso,DC=com","+1 214 555 0113","+1 214 555 8113","amelia.bailey@contoso.com","amelia.bailey","SMTP:amelia.bailey@contoso.com;smtp:abailey@contoso.com","","FALSE","450 N Akard St","","Dallas","TX","75201","US","United States","840","","","","","https://intranet.contoso.com/users/amelia.bailey","LegalEntity=Contoso","CostCenter=10013","BusinessUnit=Revenue","Region=NA","MigrationWave=1","Department=Sales","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","lucas.wright","lucas.wright@corp.contoso.com","Lucas","L","Wright","Lucas Wright","Lucas Wright","Campaign Manager (Marketing)","10014","E10014","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-014;WKSTN-214","login.bat","\\\\fs01\\profiles$\\lucas.wright","\\\\fs01\\home$\\lucas.wright","H:","Campaign Manager","Marketing","Contoso","Growth","Chicago-HQ","CN=Sophia Turner,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0114","+1 312 555 8114","lucas.wright@contoso.com","lucas.wright","SMTP:lucas.wright@contoso.com;smtp:lwright@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/lucas.wright","LegalEntity=Contoso","CostCenter=10014","BusinessUnit=Growth","Region=NA","MigrationWave=1","Department=Marketing","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","harper.collins","harper.collins@corp.contoso.com","Harper","H","Collins","Harper Collins","Harper Collins","Controller (Finance)","10015","E10015","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-015;WKSTN-215","login.bat","\\\\fs01\\profiles$\\harper.collins","\\\\fs01\\home$\\harper.collins","H:","Controller","Finance","Contoso","Finance","Chicago-HQ","CN=Daniel Brooks,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0115","+1 312 555 8115","harper.collins@contoso.com","harper.collins","SMTP:harper.collins@contoso.com;smtp:hcollins@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/harper.collins","LegalEntity=Contoso","CostCenter=10015","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","benjamin.morris","benjamin.morris@corp.contoso.com","Benjamin","B","Morris","Benjamin Morris","Benjamin Morris","Security Engineer (IT)","10016","E10016","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-016;WKSTN-216","login.bat","\\\\fs01\\profiles$\\benjamin.morris","\\\\fs01\\home$\\benjamin.morris","H:","Security Engineer","IT","Contoso","Technology","Chicago-HQ","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0116","+1 312 555 8116","benjamin.morris@contoso.com","benjamin.morris","SMTP:benjamin.morris@contoso.com;smtp:bmorris@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/benjamin.morris","LegalEntity=Contoso","CostCenter=10016","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","evelyn.hughes","evelyn.hughes@corp.contoso.com","Evelyn","E","Hughes","Evelyn Hughes","Evelyn Hughes","Customer Success Manager (Customer Success)","10017","E10017","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-017;WKSTN-217","login.bat","\\\\fs01\\profiles$\\evelyn.hughes","\\\\fs01\\home$\\evelyn.hughes","H:","Customer Success Manager","Customer Success","Contoso","ClientServices","Remote","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 608 555 0117","+1 608 555 8117","evelyn.hughes@contoso.com","evelyn.hughes","SMTP:evelyn.hughes@contoso.com;smtp:ehughes@contoso.com","","FALSE","100 Remote Way","","Madison","WI","53703","US","United States","840","","","","","https://intranet.contoso.com/users/evelyn.hughes","LegalEntity=Contoso","CostCenter=10017","BusinessUnit=ClientServices","Region=NA","MigrationWave=1","Department=Customer Success","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","henry.flores","henry.flores@corp.contoso.com","Henry","H","Flores","Henry Flores","Henry Flores","Helpdesk Lead (IT)","10018","E10018","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-018;WKSTN-218","login.bat","\\\\fs01\\profiles$\\henry.flores","\\\\fs01\\home$\\henry.flores","H:","Helpdesk Lead","IT","Contoso","Technology","Chicago-HQ","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0118","+1 312 555 8118","henry.flores@contoso.com","henry.flores","SMTP:henry.flores@contoso.com;smtp:hflores@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/henry.flores","LegalEntity=Contoso","CostCenter=10018","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","charlotte.sanders","charlotte.sanders@corp.contoso.com","Charlotte","C","Sanders","Charlotte Sanders","Charlotte Sanders","Chief of Staff (Executive)","10019","E10019","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-019;WKSTN-219","login.bat","\\\\fs01\\profiles$\\charlotte.sanders","\\\\fs01\\home$\\charlotte.sanders","H:","Chief of Staff","Executive","Contoso","Leadership","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0119","+1 312 555 8119","charlotte.sanders@contoso.com","charlotte.sanders","SMTP:charlotte.sanders@contoso.com;smtp:csanders@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/charlotte.sanders","LegalEntity=Contoso","CostCenter=10019","BusinessUnit=Leadership","Region=NA","MigrationWave=1","Department=Executive","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
"Create","Initial onboarding sample","daniel.brooks","daniel.brooks@corp.contoso.com","Daniel","D","Brooks","Daniel Brooks","Daniel Brooks","Chief Financial Officer (Finance)","10020","E10020","Employee","TRUE","TempP@ssword123!","TRUE","FALSE","FALSE","FALSE","","WKSTN-020;WKSTN-220","login.bat","\\\\fs01\\profiles$\\daniel.brooks","\\\\fs01\\home$\\daniel.brooks","H:","Chief Financial Officer","Finance","Contoso","Finance","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 0120","+1 312 555 8120","daniel.brooks@contoso.com","daniel.brooks","SMTP:daniel.brooks@contoso.com;smtp:dbrooks@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/daniel.brooks","LegalEntity=Contoso","CostCenter=10020","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","","OU=Users,OU=Corp,DC=contoso,DC=com"
