"Action","Notes","IdentityType","IdentityValue","ClearAttributes","SamAccountName","UserPrincipalName","GivenName","Initials","Surname","DisplayName","Name","Description","EmployeeID","EmployeeNumber","EmployeeType","Enabled","AccountPassword","ChangePasswordAtLogon","PasswordNeverExpires","CannotChangePassword","SmartcardLogonRequired","AccountExpirationDate","UserWorkstations","ScriptPath","ProfilePath","HomeDirectory","HomeDrive","Title","Department","Company","Division","Office","Manager","OfficePhone","MobilePhone","Mail","MailNickname","ProxyAddresses","TargetAddress","HideFromAddressLists","StreetAddress","PostOfficeBox","City","StateOrProvince","PostalCode","CountryCode","CountryName","CountryNumericCode","HomePhone","IpPhone","Fax","Pager","WebPage","ExtensionAttribute1","ExtensionAttribute2","ExtensionAttribute3","ExtensionAttribute4","ExtensionAttribute5","ExtensionAttribute6","ExtensionAttribute7","ExtensionAttribute8","ExtensionAttribute9","ExtensionAttribute10","ExtensionAttribute11","ExtensionAttribute12","ExtensionAttribute13","ExtensionAttribute14","ExtensionAttribute15","Path"
"Update","Quarterly profile refresh","UserPrincipalName","emma.foster@corp.contoso.com","","","","Emma","","Foster","Emma Foster","","HR Business Partner profile refresh","10011","E10011","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-011;WKSTN-311","login.bat","\\\\fs01\\profiles$\\emma.foster","\\\\fs01\\home$\\emma.foster","H:","HR Business Partner","Human Resources","Contoso","PeopleOps","Chicago-HQ","CN=Mia Rodriguez,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4111","+1 312 555 9111","emma.foster@contoso.com","emma.foster","SMTP:emma.foster@contoso.com;smtp:efoster@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/emma.foster","LegalEntity=Contoso","CostCenter=10011","BusinessUnit=PeopleOps","Region=NA","MigrationWave=1","Department=Human Resources","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","mason.carter@corp.contoso.com","HomePhone;Fax;Pager;ExtensionAttribute10","","","Mason","","Carter","Mason Carter","","Financial Analyst profile refresh","10012","E10012","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-012;WKSTN-312","login.bat","\\\\fs01\\profiles$\\mason.carter","\\\\fs01\\home$\\mason.carter","H:","Financial Analyst","Finance","Contoso","Finance","Chicago-HQ","CN=Noah Patel,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4112","+1 312 555 9112","mason.carter@contoso.com","mason.carter","SMTP:mason.carter@contoso.com;smtp:mcarter@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/mason.carter","LegalEntity=Contoso","CostCenter=10012","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","amelia.bailey@corp.contoso.com","","","","Amelia","","Bailey","Amelia Bailey","","Account Executive profile refresh","10013","E10013","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-013;WKSTN-313","login.bat","\\\\fs01\\profiles$\\amelia.bailey","\\\\fs01\\home$\\amelia.bailey","H:","Account Executive","Sales","Contoso","Revenue","Dallas-HQ","CN=Liam Kim,OU=Users,OU=Corp,DC=contoso,DC=com","+1 214 555 4113","+1 214 555 9113","amelia.bailey@contoso.com","amelia.bailey","SMTP:amelia.bailey@contoso.com;smtp:abailey@contoso.com","","FALSE","450 N Akard St","","Dallas","TX","75201","US","United States","840","","","","","https://intranet.contoso.com/users/amelia.bailey","LegalEntity=Contoso","CostCenter=10013","BusinessUnit=Revenue","Region=NA","MigrationWave=1","Department=Sales","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","lucas.wright@corp.contoso.com","","","","Lucas","","Wright","Lucas Wright","","Campaign Manager profile refresh","10014","E10014","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-014;WKSTN-314","login.bat","\\\\fs01\\profiles$\\lucas.wright","\\\\fs01\\home$\\lucas.wright","H:","Campaign Manager","Marketing","Contoso","Growth","Chicago-HQ","CN=Sophia Turner,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4114","+1 312 555 9114","lucas.wright@contoso.com","lucas.wright","SMTP:lucas.wright@contoso.com;smtp:lwright@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/lucas.wright","LegalEntity=Contoso","CostCenter=10014","BusinessUnit=Growth","Region=NA","MigrationWave=1","Department=Marketing","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","harper.collins@corp.contoso.com","","","","Harper","","Collins","Harper Collins","","Controller profile refresh","10015","E10015","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-015;WKSTN-315","login.bat","\\\\fs01\\profiles$\\harper.collins","\\\\fs01\\home$\\harper.collins","H:","Controller","Finance","Contoso","Finance","Chicago-HQ","CN=Daniel Brooks,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4115","+1 312 555 9115","harper.collins@contoso.com","harper.collins","SMTP:harper.collins@contoso.com;smtp:hcollins@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/harper.collins","LegalEntity=Contoso","CostCenter=10015","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","benjamin.morris@corp.contoso.com","HomePhone;Fax;Pager;ExtensionAttribute10","","","Benjamin","","Morris","Benjamin Morris","","Security Engineer profile refresh","10016","E10016","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-016;WKSTN-316","login.bat","\\\\fs01\\profiles$\\benjamin.morris","\\\\fs01\\home$\\benjamin.morris","H:","Security Engineer","IT","Contoso","Technology","Chicago-HQ","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4116","+1 312 555 9116","benjamin.morris@contoso.com","benjamin.morris","SMTP:benjamin.morris@contoso.com;smtp:bmorris@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/benjamin.morris","LegalEntity=Contoso","CostCenter=10016","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","evelyn.hughes@corp.contoso.com","","","","Evelyn","","Hughes","Evelyn Hughes","","Customer Success Manager profile refresh","10017","E10017","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-017;WKSTN-317","login.bat","\\\\fs01\\profiles$\\evelyn.hughes","\\\\fs01\\home$\\evelyn.hughes","H:","Customer Success Manager","Customer Success","Contoso","ClientServices","Remote","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 608 555 4117","+1 608 555 9117","evelyn.hughes@contoso.com","evelyn.hughes","SMTP:evelyn.hughes@contoso.com;smtp:ehughes@contoso.com","","FALSE","100 Remote Way","","Madison","WI","53703","US","United States","840","","","","","https://intranet.contoso.com/users/evelyn.hughes","LegalEntity=Contoso","CostCenter=10017","BusinessUnit=ClientServices","Region=NA","MigrationWave=1","Department=Customer Success","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","henry.flores@corp.contoso.com","","","","Henry","","Flores","Henry Flores","","Helpdesk Lead profile refresh","10018","E10018","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-018;WKSTN-318","login.bat","\\\\fs01\\profiles$\\henry.flores","\\\\fs01\\home$\\henry.flores","H:","Helpdesk Lead","IT","Contoso","Technology","Chicago-HQ","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4118","+1 312 555 9118","henry.flores@contoso.com","henry.flores","SMTP:henry.flores@contoso.com;smtp:hflores@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/henry.flores","LegalEntity=Contoso","CostCenter=10018","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","charlotte.sanders@corp.contoso.com","","","","Charlotte","","Sanders","Charlotte Sanders","","Chief of Staff profile refresh","10019","E10019","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-019;WKSTN-319","login.bat","\\\\fs01\\profiles$\\charlotte.sanders","\\\\fs01\\home$\\charlotte.sanders","H:","Chief of Staff","Executive","Contoso","Leadership","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4119","+1 312 555 9119","charlotte.sanders@contoso.com","charlotte.sanders","SMTP:charlotte.sanders@contoso.com;smtp:csanders@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/charlotte.sanders","LegalEntity=Contoso","CostCenter=10019","BusinessUnit=Leadership","Region=NA","MigrationWave=1","Department=Executive","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","daniel.brooks@corp.contoso.com","HomePhone;Fax;Pager;ExtensionAttribute10","","","Daniel","","Brooks","Daniel Brooks","","Chief Financial Officer profile refresh","10020","E10020","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-020;WKSTN-320","login.bat","\\\\fs01\\profiles$\\daniel.brooks","\\\\fs01\\home$\\daniel.brooks","H:","Chief Financial Officer","Finance","Contoso","Finance","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4120","+1 312 555 9120","daniel.brooks@contoso.com","daniel.brooks","SMTP:daniel.brooks@contoso.com;smtp:dbrooks@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/daniel.brooks","LegalEntity=Contoso","CostCenter=10020","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","",""
